#simulation: 0
%step	%pop	%debt	%gift	

1290	1733	411	0
1291	1739	419	0
1292	1743	417	0
1293	1730	408	0
1294	1731	424	0
1295	1731	414	0
1296	1733	441	0
1297	1724	401	0
1298	1723	401	0
1299	1717	438	0
1300	1705	415	0
1301	1699	399	0
1302	1696	412	0
1303	1696	383	0
1304	1701	399	0
1305	1696	400	0
1306	1708	403	0
1307	1709	403	0
1308	1718	419	0
1309	1724	423	0
1310	1720	414	0
1311	1723	430	0
1312	1727	414	0
1313	1732	417	0
1314	1733	406	0
1315	1745	432	0
1316	1744	417	0
1317	1741	416	0
1318	1746	405	0
1319	1737	418	0
1320	1742	427	0
1321	1748	412	0
1322	1745	402	0
1323	1741	423	0
1324	1749	424	0
1325	1746	440	0
1326	1754	441	0
1327	1769	427	0
1328	1768	410	0
1329	1774	421	0
1330	1778	415	0
1331	1768	421	0
1332	1756	412	0
1333	1760	399	0
1334	1767	415	0
1335	1769	387	0
1336	1766	405	0
1337	1765	390	0
1338	1768	403	0
1339	1775	400	0
1340	1770	388	0
1341	1768	381	0
1342	1774	383	0
1343	1771	394	0
1344	1768	411	0
1345	1775	418	0
1346	1773	385	0
1347	1758	394	0
1348	1764	422	0
1349	1766	399	0
1350	1764	402	0
1351	1751	392	0
1352	1750	426	0
1353	1748	385	0
1354	1746	395	0
1355	1745	391	0
1356	1744	428	0
1357	1745	413	0
1358	1756	416	0
1359	1755	416	0
1360	1754	432	0
1361	1756	414	0
1362	1756	438	0
1363	1752	400	0
1364	1754	421	0
1365	1745	403	0
1366	1742	418	0
1367	1739	409	0
1368	1741	391	0
1369	1743	401	0
1370	1740	427	0
1371	1736	418	0
1372	1741	415	0
1373	1742	401	0
1374	1747	428	0
1375	1738	426	0
1376	1742	416	0
1377	1743	444	0
1378	1740	423	0
1379	1739	420	0
1380	1739	385	0
1381	1735	422	0
1382	1736	403	0
1383	1723	407	0
1384	1729	429	0
1385	1729	419	0
1386	1728	424	0
1387	1733	420	0
1388	1740	426	0
1389	1736	391	0
1390	1732	385	0
1391	1734	407	0
1392	1735	399	0
1393	1735	398	0
1394	1740	409	0
1395	1742	431	0
1396	1739	418	0
1397	1742	411	0
1398	1739	377	0
1399	1748	412	0
1400	1754	421	0
1401	1761	422	0
1402	1757	398	0
1403	1756	401	0
1404	1771	413	0
1405	1770	415	0
1406	1771	409	0
1407	1775	387	0
1408	1765	391	0
1409	1755	416	0
1410	1755	396	0
1411	1744	419	0
1412	1741	408	0
1413	1745	395	0
1414	1746	436	0
1415	1758	422	0
1416	1764	423	0
1417	1765	433	0
1418	1759	427	0
1419	1756	395	0
1420	1770	409	0
1421	1777	399	0
1422	1785	428	0
1423	1783	404	0
1424	1785	401	0
1425	1783	395	0
1426	1783	396	0
1427	1783	414	0
1428	1780	426	0
1429	1791	434	0
1430	1786	419	0
1431	1781	417	0
1432	1787	426	0
1433	1776	440	0
1434	1767	434	0
1435	1770	433	0
1436	1770	419	0
1437	1759	419	0
1438	1769	435	0
1439	1771	456	0
1440	1772	439	0
1441	1772	447	0
1442	1762	413	0
1443	1749	408	0
1444	1749	421	0
1445	1741	420	0
1446	1741	436	0
1447	1728	439	0
1448	1733	439	0
1449	1733	450	0
1450	1739	457	0
1451	1740	440	0
1452	1738	452	0
1453	1740	432	0
1454	1731	433	0
1455	1722	423	0
1456	1725	422	0
1457	1728	432	0
1458	1730	427	0
1459	1716	414	0
1460	1720	409	0
1461	1731	431	0
1462	1737	385	0
1463	1722	397	0
1464	1722	421	0
1465	1724	435	0
1466	1724	398	0
1467	1723	437	0
1468	1713	430	0
1469	1721	444	0
1470	1714	402	0
1471	1713	417	0
1472	1703	404	0
1473	1699	399	0
1474	1691	400	0
1475	1691	398	0
1476	1688	387	0
1477	1682	410	0
1478	1682
